      250000         339
      500000         393
      750000         412
     1000000         450
     1250000         424
     1500000         433
     1750000         475
     2000000         515
     2250000         544
     2500000         485
     2750000         485
     3000000         529
     3250000         546
     3500000         526
     3750000         524
     4000000         538
     4250000         530
     4500000         558
     4750000         569
     5000000         520
     5250000         542
     5500000         517
     5750000         561
     6000000         553
     6250000         539
     6500000         589
     6750000         583
     7000000         572
     7250000         576
     7500000         617
     7750000         572
     8000000         555
     8250000         570
     8500000         579
     8750000         597
     9000000         579
     9250000         578
     9500000         604
     9750000         597
    10000000         602
    10250000         585
    10500000         590
    10750000         631
    11000000         578
    11250000         571
    11500000         614
    11750000         575
    12000000         623
    12250000         613
    12500000         574
    12750000         590
    13000000         614
    13250000         619
    13500000         577
    13750000         588
    14000000         575
    14250000         563
    14500000         608
    14750000         613
    15000000         579
    15250000         621
    15500000         599
    15750000         579
    16000000         612
    16250000         630
    16500000         604
    16750000         603
    17000000         616
    17250000         624
    17500000         597
    17750000         597
    18000000         602
    18250000         592
    18500000         600
    18750000         601
    19000000         594
    19250000         594
    19500000         618
    19750000         598
    20000000         598
    20250000         571
    20500000         635
    20750000         604
    21000000         585
    21250000         617
    21500000         569
    21750000         621
    22000000         591
    22250000         588
    22500000         603
    22750000         606
    23000000         604
    23250000         608
    23500000         615
    23750000         571
    24000000         610
    24250000         614
    24500000         583
    24750000         613
    25000000         586
    25250000         572
    25500000         610
    25750000         609
    26000000         590
    26250000         597
    26500000         589
    26750000         599
    27000000         590
    27250000         565
    27500000         611
    27750000         612
    28000000         607
    28250000         582
    28500000         601
    28750000         586
    29000000         588
    29250000         614
    29500000         596
    29750000         621
    30000000         597
    30250000         591
    30500000         601
    30750000         594
    31000000         634
    31250000         585
    31500000         610
    31750000         635
    32000000         611
    32250000         598
    32500000         592
    32750000         611
    33000000         613
    33250000         606
    33500000         609
    33750000         602
    34000000         625
    34250000         583
    34500000         588
    34750000         623
    35000000         593
    35250000         620
    35500000         608
    35750000         619
    36000000         620
    36250000         576
    36500000         592
    36750000         579
    37000000         594
    37250000         607
    37500000         621
    37750000         646
    38000000         646
    38250000         600
    38500000         631
    38750000         609
    39000000         637
    39250000         621
    39500000         612
    39750000         612
    40000000         584
    40250000         643
    40500000         608
    40750000         606
    41000000         622
    41250000         605
    41500000         610
    41750000         619
    42000000         597
    42250000         624
    42500000         600
    42750000         628
    43000000         630
    43250000         591
    43500000         611
    43750000         577
    44000000         575
    44250000         613
    44500000         627
    44750000         635
    45000000         585
    45250000         584
    45500000         635
    45750000         612
    46000000         612
    46250000         587
    46500000         601
    46750000         611
    47000000         619
    47250000         612
    47500000         607
    47750000         605
    48000000         615
    48250000         631
    48500000         642
    48750000         590
    49000000         602
    49250000         615
    49500000         635
    49750000         600
    50000000         601
