W,h,n,classe_log2,N_min,N_max,ciclos,media_especies,desvio,ciclos_usados
4.0,0.01,25,8,505.3304542455769,1229.7038696382244,6,98.5,10.134100848126586,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,9,1229.7038696382244,2992.441073556095,6,66.66666666666667,11.272385136547928,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,25,10,2992.441073556095,7282.000000000004,6,5.666666666666667,3.141125063837266,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,1,1.0,2.433464793793373,6,40.5,5.683308895353129,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,2,2.433464793793373,5.921750902631823,6,29.166666666666668,2.9944392908634274,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,3,5.921750902631823,14.410372339168667,6,40.5,6.892024376045111,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,4,14.410372339168667,35.06713375282081,6,47.833333333333336,5.23131595936115,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,5,35.06713375282081,85.33463540673273,6,51.333333333333336,5.680375574437544,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,6,85.33463540673273,207.65883095347743,6,60.333333333333336,12.060956291549466,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,7,207.65883095347743,505.3304542455769,6,68.16666666666667,6.997618642557385,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,8,505.3304542455769,1229.7038696382244,6,75.16666666666667,14.688998150543375,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,9,1229.7038696382244,2992.441073556095,6,58.833333333333336,8.750238091998792,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,50,10,2992.441073556095,7282.000000000004,6,12.833333333333334,2.316606713852541,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.01,75,1,1.0,2.433464793793373,4,44.75,9.394147114027968,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,2,2.433464793793373,5.921750902631823,4,27.25,4.645786621588784,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,3,5.921750902631823,14.410372339168667,4,45.25,7.675719293112969,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,4,14.410372339168667,35.06713375282081,4,46.0,7.2571803523590805,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,5,35.06713375282081,85.33463540673273,4,53.25,7.847504911329036,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,6,85.33463540673273,207.65883095347743,4,59.75,9.464847243000456,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,7,207.65883095347743,505.3304542455769,4,67.25,10.812801055539063,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,8,505.3304542455769,1229.7038696382244,4,74.0,8.32666399786453,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,9,1229.7038696382244,2992.441073556095,4,60.0,3.1622776601683795,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.01,75,10,2992.441073556095,7282.000000000004,4,12.5,2.0816659994661326,ciclo_001;ciclo_002;ciclo_003;ciclo_004
4.0,0.50,3,1,1.0,2.3576802678421678,6,40.333333333333336,11.039323650779819,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,2,2.3576802678421678,5.558656245372316,6,30.166666666666668,6.145459028149701,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,3,5.558656245372316,13.105534145431939,6,45.0,8.555699854482976,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,4,13.105534145431939,30.898659254216657,6,43.0,3.5777087639996634,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,5,30.898659254216657,72.84915922644541,6,52.5,8.240145629781066,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,6,72.84915922644541,171.75502523708246,6,59.666666666666664,5.645056834671079,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,7,171.75502523708246,404.94343390420295,6,107.0,14.7648230602334,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,8,404.94343390420295,954.7271437081886,6,168.5,15.9968746947646,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,9,954.7271437081886,2250.94134789411,6,74.66666666666667,6.470445631227162,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,3,10,2250.94134789411,5306.999999999997,6,4.0,1.4142135623730951,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,5,1,1.0,2.3576802678421678,5,44.8,6.97853852894716,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,2,2.3576802678421678,5.558656245372316,5,26.8,4.324349662087931,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,3,5.558656245372316,13.105534145431939,5,40.0,4.527692569068709,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,4,13.105534145431939,30.898659254216657,5,40.8,8.78635305459552,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,5,30.898659254216657,72.84915922644541,5,50.0,8.0,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,6,72.84915922644541,171.75502523708246,5,62.2,6.534523701081817,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,7,171.75502523708246,404.94343390420295,5,98.4,11.148990985734986,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,8,404.94343390420295,954.7271437081886,5,204.0,18.641351882307248,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,9,954.7271437081886,2250.94134789411,5,70.8,8.927485648266257,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,5,10,2250.94134789411,5306.999999999997,5,0.0,0.0,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005
4.0,0.50,10,1,1.0,2.3576802678421678,6,46.666666666666664,13.125039682479695,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,2,2.3576802678421678,5.558656245372316,6,32.0,4.69041575982343,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,3,5.558656245372316,13.105534145431939,6,39.0,5.656854249492381,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,4,13.105534145431939,30.898659254216657,6,37.333333333333336,6.889605697474034,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,5,30.898659254216657,72.84915922644541,6,46.666666666666664,3.9327683210007005,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,6,72.84915922644541,171.75502523708246,6,61.666666666666664,7.284687135812125,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,7,171.75502523708246,404.94343390420295,6,97.5,11.844830095868831,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,8,404.94343390420295,954.7271437081886,6,162.33333333333334,15.396969398770223,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,9,954.7271437081886,2250.94134789411,6,87.83333333333333,9.32559202767667,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,10,10,2250.94134789411,5306.999999999997,6,1.0,0.8944271909999159,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,1,1.0,2.3576802678421678,6,45.0,10.276186062932103,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,2,2.3576802678421678,5.558656245372316,6,27.166666666666668,4.708148963941844,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,3,5.558656245372316,13.105534145431939,6,41.166666666666664,5.154286242213044,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,4,13.105534145431939,30.898659254216657,6,39.166666666666664,2.041241452319315,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,5,30.898659254216657,72.84915922644541,6,55.666666666666664,8.091147425839345,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,6,72.84915922644541,171.75502523708246,6,67.83333333333333,5.671566509057852,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,7,171.75502523708246,404.94343390420295,6,91.16666666666667,5.036533199202272,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,8,404.94343390420295,954.7271437081886,6,133.0,11.027239001672177,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,9,954.7271437081886,2250.94134789411,6,88.33333333333333,5.125101625008686,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,25,10,2250.94134789411,5306.999999999997,6,5.166666666666667,3.8686776379877745,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
